,product_id,product_name,category,brand,price,rating,stock,discount,discount_amount,final_price
0,2001,IdeaPad Slim 3,Laptop,Lenovo,48999,4.2,18,10,4899.900000000001,44099.1
1,2002,Inspiron 15,Laptop,Dell,55999,4.3,12,12,6719.88,49279.12
2,2003,Pavilion 14,Laptop,HP,64999,4.4,9,15,9749.85,55249.15
3,2004,Vivobook 15,Laptop,ASUS,52999,4.1,21,8,4239.92,48759.08
4,2005,Galaxy Book4,Laptop,Samsung,71999,4.5,7,18,12959.82,59039.18
5,2006,MacBook Air M2,Laptop,Apple,89999,4.7,6,10,8999.9,80999.1
6,2007,ThinkPad E14,Laptop,Lenovo,67999,4.6,11,14,9519.86,58479.14
7,2008,Aspire 5,Laptop,Acer,57999,4.0,15,20,11599.800000000001,46399.2
8,2009,Galaxy S24,Mobile,Samsung,74999,4.6,14,12,8999.88,65999.12
9,2010,iPhone 15,Mobile,Apple,69999,4.7,10,8,5599.92,64399.08
10,2011,Pixel 8,Mobile,Google,58999,4.5,8,15,8849.85,50149.15
11,2012,OnePlus 12,Mobile,OnePlus,64999,4.4,17,10,6499.900000000001,58499.1
12,2013,Nothing Phone 2,Mobile,Nothing,39999,4.2,22,18,7199.82,32799.18
13,2014,Moto Edge 50,Mobile,Motorola,29999,4.1,26,20,5999.8,23999.2
14,2015,Redmi Note 13 Pro,Mobile,Xiaomi,27999,4.3,31,22,6159.78,21839.22
15,2016,Nord CE 4,Mobile,OnePlus,24999,4.2,19,15,3749.85,21249.15
16,2017,WH-1000XM5,Headphones,Sony,29999,4.7,13,16,4799.84,25199.16
17,2018,QuietComfort 45,Headphones,Bose,26999,4.6,8,12,3239.8799999999997,23759.12
18,2019,AirPods Pro 2,Headphones,Apple,24999,4.7,16,10,2499.9,22499.1
19,2020,Galaxy Buds2 Pro,Headphones,Samsung,11999,4.4,24,20,2399.8,9599.2
20,2021,Tune 770NC,Headphones,JBL,6999,4.3,35,25,1749.75,5249.25
21,2022,Soundcore Q20i,Headphones,Anker,5999,4.2,29,18,1079.82,4919.18
22,2023,HD 450BT,Headphones,Sennheiser,10999,4.5,11,15,1649.85,9349.15
23,2024,MX Keys Mini,Keyboard,Logitech,9499,4.6,20,12,1139.8799999999999,8359.12
24,2025,K2 Mechanical,Keyboard,Keychron,8999,4.5,14,10,899.9000000000001,8099.1
25,2026,MK850 Combo,Keyboard,Logitech,7999,4.4,18,15,1199.85,6799.15
26,2027,BlackWidow V3,Keyboard,Razer,11999,4.5,9,20,2399.8,9599.2
27,2028,K100 RGB,Keyboard,Corsair,17999,4.7,6,18,3239.8199999999997,14759.18
28,2029,CK550 V2,Keyboard,Cooler Master,6999,4.2,23,22,1539.78,5459.22
29,2030,G413 SE,Keyboard,Logitech,6499,4.1,27,17,1104.8300000000002,5394.17
30,2031,UltraGear 27GN800,Monitor,LG,29999,4.6,10,15,4499.849999999999,25499.15
31,2032,Odyssey G5,Monitor,Samsung,27999,4.5,7,12,3359.8799999999997,24639.12
32,2033,S2721DGF,Monitor,Dell,31999,4.7,8,18,5759.82,26239.18
33,2034,Nitro VG271U,Monitor,Acer,24999,4.3,16,20,4999.8,19999.2
34,2035,TUF VG27AQ,Monitor,ASUS,28999,4.4,12,10,2899.9,26099.1
35,2036,M27Q,Monitor,Gigabyte,26999,4.5,15,16,4319.84,22679.16
36,2037,Mobiuz EX2710Q,Monitor,BenQ,33999,4.6,5,14,4759.860000000001,29239.14
37,2038,iPad Air,Tablet,Apple,59999,4.7,9,10,5999.900000000001,53999.1
38,2039,Galaxy Tab S9,Tablet,Samsung,57999,4.6,12,15,8699.85,49299.15
39,2040,Pixel Tablet,Tablet,Google,49999,4.4,7,18,8999.82,40999.18
40,2041,OnePlus Pad 2,Tablet,OnePlus,39999,4.5,14,12,4799.88,35199.12
41,2042,Xiaomi Pad 6,Tablet,Xiaomi,29999,4.3,20,20,5999.8,23999.2
42,2043,Lenovo Tab P12,Tablet,Lenovo,32999,4.2,18,17,5609.830000000001,27389.17
43,2044,Galaxy Tab A9+,Tablet,Samsung,21999,4.4,25,22,4839.78,17159.22
44,2045,USB-C Hub 7-in-1,Accessories,Anker,3499,4.5,42,20,699.8000000000001,2799.2
45,2046,65W GaN Charger,Accessories,UGREEN,2999,4.6,37,15,449.84999999999997,2549.15
46,2047,MX Master 3S,Accessories,Logitech,8999,4.7,13,12,1079.8799999999999,7919.12
47,2048,Portable SSD 1TB,Accessories,Samsung,9999,4.6,16,18,1799.82,8199.18
48,2049,Laptop Stand,Accessories,Portronics,1499,4.2,55,25,374.75,1124.25
49,2050,Webcam C920,Accessories,Logitech,6999,4.4,19,20,1399.8000000000002,5599.2
